DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte,Description,Tests-1,Errors-1,Mean_Test_Time_(ms)-1,Test_Time_Standard_Deviation_(ms)-1,TPS-1,Mean_response_length-1,Response_bytes_per_second-1,Response_errors-1,Mean_time_to_resolve_host-1,Mean_time_to_establish_connection-1,Mean_time_to_first_byte-1,Description,Tests-2,Errors-2,Mean_Test_Time_(ms)-2,Test_Time_Standard_Deviation_(ms)-2,TPS-2,Mean_response_length-2,Response_bytes_per_second-2,Response_errors-2,Mean_time_to_resolve_host-2,Mean_time_to_establish_connection-2,Mean_time_to_first_byte-2
2025-08-28 22:29:30,60,98,0,428.735,54.941,49,260.388,12759,20,18.153,20.306,243.745,POST /api/register,60,0,413.45,63.406,30,0,0,0,0,0,0,POST /api/login,60,0,413.183,63.458,30,425.3,12759,20,29.65,33.167,398.117
2025-08-28 22:29:32,60,0,0,0,0,0,0,0,0,0,0,0,POST /api/register,0,0,0,0,0,0,0,0,0,0,0,POST /api/login,0,0,0,0,0,0,0,0,0,0,0
2025-08-28 22:29:34,60,0,0,0,0,0,0,0,0,0,0,0,POST /api/register,0,0,0,0,0,0,0,0,0,0,0,POST /api/login,0,0,0,0,0,0,0,0,0,0,0
2025-08-28 22:29:36,60,0,0,0,0,0,0,0,0,0,0,0,POST /api/register,0,0,0,0,0,0,0,0,0,0,0,POST /api/login,0,0,0,0,0,0,0,0,0,0,0
2025-08-28 22:29:38,60,45,0,30.467,14.936,22.5,409.489,9213.5,17,0.089,1.622,30.067,POST /api/register,45,0,30.489,14.953,22.5,0,0,0,0,0,0,POST /api/login,45,0,30.467,14.936,22.5,409.489,9213.5,17,0.089,1.622,30.067
2025-08-28 22:29:40,60,15,0,99.333,107.191,7.5,472.733,3545.5,3,0,13.667,99.067,POST /api/register,15,0,99.533,107.195,7.5,0,0,0,0,0,0,POST /api/login,15,0,99.333,107.191,7.5,472.733,3545.5,3,0,13.667,99.067
2025-08-28 22:29:42,60,0,0,0,0,0,0,0,0,0,0,0,POST /api/register,0,0,0,0,0,0,0,0,0,0,0,POST /api/login,0,0,0,0,0,0,0,0,0,0,0
2025-08-28 22:29:44,60,0,0,0,0,0,0,0,0,0,0,0,POST /api/register,0,0,0,0,0,0,0,0,0,0,0,POST /api/login,0,0,0,0,0,0,0,0,0,0,0
2025-08-28 22:29:46,60,2,0,30.5,0.5,1,544,544,0,0,1.5,30.5,POST /api/register,2,0,30.5,0.5,1,0,0,0,0,0,0,POST /api/login,2,0,30.5,0.5,1,544,544,0,0,1.5,30.5
2025-08-28 22:29:48,60,44,0,30.023,15.697,22,430.614,9473.5,14,0.114,1.25,29.75,POST /api/register,44,0,30.068,15.665,22,0,0,0,0,0,0,POST /api/login,44,0,30.023,15.697,22,430.614,9473.5,14,0.114,1.25,29.75
2025-08-28 22:29:50,60,16,0,24.812,11.381,8,410.688,3285.5,6,0.125,1.375,24.438,POST /api/register,16,0,24.875,11.423,8,0,0,0,0,0,0,POST /api/login,16,0,24.812,11.381,8,410.688,3285.5,6,0.125,1.375,24.438
2025-08-28 22:29:52,60,92,0,34.348,23.497,46,404.75,18618.5,36,0.033,0.87,34.022,POST /api/register,92,0,34.37,23.475,46,0,0,0,0,0,0,POST /api/login,92,0,34.348,23.497,46,404.75,18618.5,36,0.033,0.87,34.022
2025-08-28 22:29:54,60,87,0,59.092,37.271,43.5,445.667,19386.5,24,0.115,1.138,58.931,POST /api/register,87,0,59.126,37.273,43.5,0,0,0,0,0,0,POST /api/login,87,0,59.092,37.271,43.5,445.667,19386.5,24,0.115,1.138,58.931
2025-08-28 22:29:56,60,117,0,56.658,40.54,58.5,422.265,24702.5,40,0.128,1.205,56.436,POST /api/register,117,0,56.667,40.541,58.5,0,0,0,0,0,0,POST /api/login,117,0,56.658,40.54,58.5,422.265,24702.5,40,0.128,1.205,56.436
2025-08-28 22:29:58,60,119,0,68.874,43.821,59.5,427.286,25423.5,39,0.042,0.992,68.655,POST /api/register,119,0,68.899,43.813,59.5,0,0,0,0,0,0,POST /api/login,119,0,68.874,43.821,59.5,427.286,25423.5,39,0.042,0.992,68.655
2025-08-28 22:30:00,60,118,0,88.059,58.299,59,420.28,24796.5,41,0.059,1.008,87.831,POST /api/register,118,0,88.068,58.295,59,0,0,0,0,0,0,POST /api/login,118,0,88.059,58.299,59,420.28,24796.5,41,0.059,1.008,87.831
2025-08-28 22:30:02,60,125,0,103.184,57.099,62.5,430.04,26877.5,40,0.04,1.072,103.008,POST /api/register,125,0,103.184,57.099,62.5,0,0,0,0,0,0,POST /api/login,125,0,103.184,57.099,62.5,430.04,26877.5,40,0.04,1.072,103.008
2025-08-28 22:30:04,60,124,0,108.516,60.47,62,423.403,26251,42,0.073,0.944,108.387,POST /api/register,124,0,108.54,60.458,62,0,0,0,0,0,0,POST /api/login,124,0,108.516,60.47,62,423.403,26251,42,0.073,0.944,108.387
2025-08-28 22:30:06,60,148,0,132.162,67.645,74,423.682,31352.5,50,0.041,1.02,132.054,POST /api/register,148,0,132.182,67.64,74,0,0,0,0,0,0,POST /api/login,148,0,132.162,67.645,74,423.682,31352.5,50,0.041,1.02,132.054
2025-08-28 22:30:08,60,152,0,149.717,72.514,76,426.868,32442,50,0.059,0.947,149.572,POST /api/register,152,0,149.717,72.514,76,0,0,0,0,0,0,POST /api/login,152,0,149.717,72.514,76,426.868,32442,50,0.059,0.947,149.572
2025-08-28 22:30:10,60,175,0,156.149,73.448,87.5,425.971,37272.5,58,0.034,0.954,156.051,POST /api/register,175,0,156.166,73.436,87.5,0,0,0,0,0,0,POST /api/login,175,0,156.149,73.448,87.5,425.971,37272.5,58,0.034,0.954,156.051
2025-08-28 22:30:12,60,152,0,161.928,76.173,76,419.875,31910.5,53,0.033,0.934,161.809,POST /api/register,152,0,161.941,76.178,76,0,0,0,0,0,0,POST /api/login,152,0,161.928,76.173,76,419.875,31910.5,53,0.033,0.934,161.809
2025-08-28 22:30:14,60,186,0,204.29,83.248,93,429.081,39904.5,60,0.027,1.102,204.177,POST /api/register,186,0,204.296,83.238,93,0,0,0,0,0,0,POST /api/login,186,0,204.29,83.248,93,429.081,39904.5,60,0.027,1.102,204.177
2025-08-28 22:30:16,60,194,0,193.887,70.103,97,421.036,40840.5,67,0.031,0.907,193.732,POST /api/register,194,0,193.902,70.107,97,0,0,0,0,0,0,POST /api/login,194,0,193.887,70.103,97,421.036,40840.5,67,0.031,0.907,193.732
2025-08-28 22:30:18,60,189,0,209.794,74.718,94.5,430.947,40724.5,60,0.042,1.037,209.698,POST /api/register,189,0,209.799,74.716,94.5,0,0,0,0,0,0,POST /api/login,189,0,209.794,74.718,94.5,430.947,40724.5,60,0.042,1.037,209.698
2025-08-28 22:30:20,60,198,0,202.869,70.995,99,425.313,42106,66,0.015,0.899,202.727,POST /api/register,198,0,202.874,70.991,99,0,0,0,0,0,0,POST /api/login,198,0,202.869,70.995,99,425.313,42106,66,0.015,0.899,202.727
2025-08-28 22:30:22,60,220,0,234.277,72.108,110,424.214,46663.5,74,0.018,0.927,234.155,POST /api/register,220,0,234.286,72.108,110,0,0,0,0,0,0,POST /api/login,220,0,234.277,72.108,110,424.214,46663.5,74,0.018,0.927,234.155
2025-08-28 22:30:24,60,213,0,226.789,75.751,106.5,428.643,45650.5,69,0.014,0.887,226.667,POST /api/register,213,0,226.798,75.749,106.5,0,0,0,0,0,0,POST /api/login,213,0,226.789,75.751,106.5,428.643,45650.5,69,0.014,0.887,226.667
2025-08-28 22:30:26,60,224,0,258.326,81.507,112,424.768,47574,75,0.027,0.888,258.259,POST /api/register,224,0,258.335,81.507,112,0,0,0,0,0,0,POST /api/login,224,0,258.326,81.507,112,424.768,47574,75,0.027,0.888,258.259
2025-08-28 22:30:28,60,229,0,281.406,85.759,114.5,424.266,48578.5,77,0.013,0.93,281.319,POST /api/register,229,0,281.424,85.758,114.5,0,0,0,0,0,0,POST /api/login,229,0,281.406,85.759,114.5,424.266,48578.5,77,0.013,0.93,281.319
2025-08-28 22:30:30,60,241,0,327.34,87.075,120.5,424.303,51128.5,81,0.029,0.896,327.253,POST /api/register,241,0,327.349,87.076,120.5,0,0,0,0,0,0,POST /api/login,241,0,327.34,87.075,120.5,424.303,51128.5,81,0.029,0.896,327.253
2025-08-28 22:30:32,60,235,0,331.009,86.025,117.5,424.302,49855.5,79,0.021,0.936,330.919,POST /api/register,235,0,331.026,86.04,117.5,0,0,0,0,0,0,POST /api/login,235,0,331.009,86.025,117.5,424.302,49855.5,79,0.021,0.936,330.919
2025-08-28 22:30:34,60,243,0,334.296,83.341,121.5,426.753,51850.5,80,0.012,0.93,334.214,POST /api/register,243,0,334.321,83.347,121.5,0,0,0,0,0,0,POST /api/login,243,0,334.296,83.341,121.5,426.753,51850.5,80,0.012,0.93,334.214
2025-08-28 22:30:36,60,241,0,308.826,85.02,120.5,425.801,51309,80,0.012,0.896,308.726,POST /api/register,241,0,308.838,85.012,120.5,0,0,0,0,0,0,POST /api/login,241,0,308.826,85.02,120.5,425.801,51309,80,0.012,0.896,308.726
2025-08-28 22:30:38,60,240,0,317.517,87.888,120,423.821,50858.5,81,0.013,0.9,317.429,POST /api/register,240,0,317.546,87.914,120,0,0,0,0,0,0,POST /api/login,240,0,317.517,87.888,120,423.821,50858.5,81,0.013,0.9,317.429
2025-08-28 22:30:40,60,238,0,322.265,85.725,119,425.798,50670,79,0.021,0.958,322.185,POST /api/register,238,0,322.265,85.725,119,0,0,0,0,0,0,POST /api/login,238,0,322.265,85.725,119,425.798,50670,79,0.021,0.958,322.185
2025-08-28 22:30:42,60,235,0,336.434,88.807,117.5,424.289,49854,79,0.026,1.128,336.34,POST /api/register,235,0,336.447,88.807,117.5,0,0,0,0,0,0,POST /api/login,235,0,336.434,88.807,117.5,424.289,49854,79,0.026,1.128,336.34
2025-08-28 22:30:44,60,223,0,453.677,87.038,111.5,417.892,46595,79,0.031,1.336,453.552,POST /api/register,223,0,453.686,87.037,111.5,0,0,0,0,0,0,POST /api/login,223,0,453.677,87.038,111.5,417.892,46595,79,0.031,1.336,453.552
2025-08-28 22:30:46,60,230,0,508.274,50.033,115,418.622,48141.5,81,0.026,1.191,508.174,POST /api/register,230,0,508.291,50.018,115,0,0,0,0,0,0,POST /api/login,230,0,508.274,50.033,115,418.622,48141.5,81,0.026,1.191,508.174
2025-08-28 22:30:48,60,233,0,496.996,50.598,116.5,421.738,49132.5,80,0.021,1.133,496.918,POST /api/register,233,0,496.996,50.598,116.5,0,0,0,0,0,0,POST /api/login,233,0,496.996,50.598,116.5,421.738,49132.5,80,0.021,1.133,496.918
2025-08-28 22:30:50,60,233,0,497.76,43.449,116.5,421.734,49132,80,0.013,1.107,497.661,POST /api/register,233,0,497.76,43.449,116.5,0,0,0,0,0,0,POST /api/login,233,0,497.76,43.449,116.5,421.734,49132,80,0.013,1.107,497.661
2025-08-28 22:30:52,60,234,0,497.509,46.923,117,422.274,49406,80,0.034,1.226,497.415,POST /api/register,234,0,497.521,46.912,117,0,0,0,0,0,0,POST /api/login,234,0,497.509,46.923,117,422.274,49406,80,0.034,1.226,497.415
2025-08-28 22:30:54,60,236,0,477.835,46.004,118,423.322,49952,80,0.034,1.174,477.746,POST /api/register,236,0,477.835,46.004,118,0,0,0,0,0,0,POST /api/login,236,0,477.835,46.004,118,423.322,49952,80,0.034,1.174,477.746
2025-08-28 22:30:56,60,237,0,489.785,53.742,118.5,423.797,50220,80,0.025,1.304,489.726,POST /api/register,237,0,489.789,53.741,118.5,0,0,0,0,0,0,POST /api/login,237,0,489.785,53.742,118.5,423.797,50220,80,0.025,1.304,489.726
