DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte,Description,Tests-1,Errors-1,Mean_Test_Time_(ms)-1,Test_Time_Standard_Deviation_(ms)-1,TPS-1,Mean_response_length-1,Response_bytes_per_second-1,Response_errors-1,Mean_time_to_resolve_host-1,Mean_time_to_establish_connection-1,Mean_time_to_first_byte-1,Description,Tests-2,Errors-2,Mean_Test_Time_(ms)-2,Test_Time_Standard_Deviation_(ms)-2,TPS-2,Mean_response_length-2,Response_bytes_per_second-2,Response_errors-2,Mean_time_to_resolve_host-2,Mean_time_to_establish_connection-2,Mean_time_to_first_byte-2
2025-08-28 18:42:29,50,401,0,89.953,123.071,200.5,224.357,44983.5,361,6.247,7.227,88.693,POST /api/register,401,0,90.052,123.2,200.5,0,0,0,0,0,0,POST /api/login,401,0,89.953,123.071,200.5,224.357,44983.5,361,6.247,7.227,88.693
2025-08-28 18:42:31,50,562,0,57.34,35.932,281,218.002,61258.5,516,0.05,0.995,57.165,POST /api/register,562,0,57.351,35.934,281,0,0,0,0,0,0,POST /api/login,562,0,57.34,35.932,281,218.002,61258.5,516,0.05,0.995,57.165
2025-08-28 18:42:33,50,459,0,54.943,29.053,229.5,217.582,49935,422,0.048,1.011,54.773,POST /api/register,459,0,54.959,29.054,229.5,0,0,0,0,0,0,POST /api/login,459,0,54.943,29.053,229.5,217.582,49935,422,0.048,1.011,54.773
2025-08-28 18:42:35,50,470,0,54.787,30.231,235,219.166,51504,430,0.015,0.919,54.621,POST /api/register,470,0,54.798,30.225,235,0,0,0,0,0,0,POST /api/login,470,0,54.787,30.231,235,219.166,51504,430,0.015,0.919,54.621
2025-08-28 18:42:37,50,431,0,58.91,30.541,215.5,220.255,47465,393,0.021,0.916,58.775,POST /api/register,431,0,58.912,30.539,215.5,0,0,0,0,0,0,POST /api/login,431,0,58.91,30.541,215.5,220.255,47465,393,0.021,0.916,58.775
2025-08-28 18:42:39,50,441,0,58.202,30.71,220.5,220.345,48586,402,0.027,0.993,58.095,POST /api/register,441,0,58.209,30.709,220.5,0,0,0,0,0,0,POST /api/login,441,0,58.202,30.71,220.5,220.345,48586,402,0.027,0.993,58.095
2025-08-28 18:42:41,50,432,0,59.715,30.919,216,221.819,47913,392,0.016,0.988,59.611,POST /api/register,432,0,59.725,30.916,216,0,0,0,0,0,0,POST /api/login,432,0,59.715,30.919,216,221.819,47913,392,0.016,0.988,59.611
2025-08-28 18:42:43,50,417,0,61.321,30.066,208.5,222.149,46318,378,0.017,0.966,61.182,POST /api/register,417,0,61.336,30.063,208.5,0,0,0,0,0,0,POST /api/login,417,0,61.321,30.066,208.5,222.149,46318,378,0.017,0.966,61.182
2025-08-28 18:42:45,50,434,0,59.601,30.966,217,221.668,48102,394,0.012,1.007,59.479,POST /api/register,434,0,59.613,30.962,217,0,0,0,0,0,0,POST /api/login,434,0,59.601,30.966,217,221.668,48102,394,0.012,1.007,59.479
2025-08-28 18:42:47,50,421,0,61.58,32.827,210.5,222.677,46873.5,381,0.017,1.131,61.451,POST /api/register,421,0,61.589,32.832,210.5,0,0,0,0,0,0,POST /api/login,421,0,61.58,32.827,210.5,222.677,46873.5,381,0.017,1.131,61.451
2025-08-28 18:42:49,50,398,0,63.013,30.488,199,220.163,43812.5,363,0.025,1.133,62.859,POST /api/register,398,0,63.015,30.487,199,0,0,0,0,0,0,POST /api/login,398,0,63.013,30.488,199,220.163,43812.5,363,0.025,1.133,62.859
2025-08-28 18:42:51,50,431,0,59.807,30.303,215.5,221.072,47641,392,0.016,1.095,59.689,POST /api/register,431,0,59.81,30.302,215.5,0,0,0,0,0,0,POST /api/login,431,0,59.807,30.303,215.5,221.072,47641,392,0.016,1.095,59.689
2025-08-28 18:42:53,50,430,0,57.447,28.589,215,217.863,46840.5,395,0.028,1.088,57.34,POST /api/register,430,0,57.449,28.59,215,0,0,0,0,0,0,POST /api/login,430,0,57.447,28.589,215,217.863,46840.5,395,0.028,1.088,57.34
2025-08-28 18:42:55,50,427,0,57.843,27.901,213.5,215.555,46021,395,0.021,1.201,57.735,POST /api/register,427,0,57.85,27.9,213.5,0,0,0,0,0,0,POST /api/login,427,0,57.843,27.901,213.5,215.555,46021,395,0.021,1.201,57.735
2025-08-28 18:42:57,50,438,0,58.005,28.81,219,218.941,47948,401,0.023,1.178,57.888,POST /api/register,438,0,58.016,28.812,219,0,0,0,0,0,0,POST /api/login,438,0,58.005,28.81,219,218.941,47948,401,0.023,1.178,57.888
2025-08-28 18:42:59,50,414,0,60.99,29.444,207,218.966,45326,379,0.017,1.295,60.838,POST /api/register,414,0,60.993,29.441,207,0,0,0,0,0,0,POST /api/login,414,0,60.99,29.444,207,218.966,45326,379,0.017,1.295,60.838
2025-08-28 18:43:01,50,403,0,62.888,30.313,201.5,220.665,44464,367,0.027,1.437,62.767,POST /api/register,403,0,62.893,30.31,201.5,0,0,0,0,0,0,POST /api/login,403,0,62.888,30.313,201.5,220.665,44464,367,0.027,1.437,62.767
2025-08-28 18:43:03,50,403,0,63.104,29.881,201.5,221.546,44641.5,366,0.035,1.476,62.968,POST /api/register,403,0,63.114,29.882,201.5,0,0,0,0,0,0,POST /api/login,403,0,63.104,29.881,201.5,221.546,44641.5,366,0.035,1.476,62.968
2025-08-28 18:43:05,50,417,0,61.271,30.311,208.5,220.453,45964.5,380,0.026,1.228,61.17,POST /api/register,417,0,61.283,30.316,208.5,0,0,0,0,0,0,POST /api/login,417,0,61.271,30.311,208.5,220.453,45964.5,380,0.026,1.228,61.17
2025-08-28 18:43:07,50,394,0,65.904,31.221,197,224.985,44322,354,0.01,1.315,65.764,POST /api/register,394,0,65.906,31.221,197,0,0,0,0,0,0,POST /api/login,394,0,65.904,31.221,197,224.985,44322,354,0.01,1.315,65.764
2025-08-28 18:43:09,50,423,0,60.78,29.535,211.5,221.678,46885,384,0.021,1.461,60.678,POST /api/register,423,0,60.79,29.536,211.5,0,0,0,0,0,0,POST /api/login,423,0,60.78,29.535,211.5,221.678,46885,384,0.021,1.461,60.678
2025-08-28 18:43:11,50,420,0,61.764,31.257,210,223.602,46956.5,379,0.024,1.502,61.638,POST /api/register,420,0,61.771,31.259,210,0,0,0,0,0,0,POST /api/login,420,0,61.764,31.257,210,223.602,46956.5,379,0.024,1.502,61.638
2025-08-28 18:43:13,50,433,0,58.508,29.313,216.5,219.284,47475,396,0.016,1.427,58.4,POST /api/register,433,0,58.513,29.314,216.5,0,0,0,0,0,0,POST /api/login,433,0,58.508,29.313,216.5,219.284,47475,396,0.016,1.427,58.4
2025-08-28 18:43:15,50,445,0,56.263,28.462,222.5,216.874,48254.5,410,0.016,1.025,56.153,POST /api/register,445,0,56.263,28.462,222.5,0,0,0,0,0,0,POST /api/login,445,0,56.263,28.462,222.5,216.874,48254.5,410,0.016,1.025,56.153
2025-08-28 18:43:17,50,426,0,59.369,29.818,213,219.782,46813.5,389,0.014,1.073,59.246,POST /api/register,426,0,59.376,29.814,213,0,0,0,0,0,0,POST /api/login,426,0,59.369,29.818,213,219.782,46813.5,389,0.014,1.073,59.246
2025-08-28 18:43:19,50,423,0,61.336,30.774,211.5,221.678,46885,384,0.007,1.163,61.227,POST /api/register,423,0,61.34,30.773,211.5,0,0,0,0,0,0,POST /api/login,423,0,61.336,30.774,211.5,221.678,46885,384,0.007,1.163,61.227
2025-08-28 18:43:21,50,431,0,59.22,29.794,215.5,220.255,47465,393,0.009,1.042,59.107,POST /api/register,431,0,59.234,29.797,215.5,0,0,0,0,0,0,POST /api/login,431,0,59.22,29.794,215.5,220.255,47465,393,0.009,1.042,59.107
