DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte,Description,Tests-1,Errors-1,Mean_Test_Time_(ms)-1,Test_Time_Standard_Deviation_(ms)-1,TPS-1,Mean_response_length-1,Response_bytes_per_second-1,Response_errors-1,Mean_time_to_resolve_host-1,Mean_time_to_establish_connection-1,Mean_time_to_first_byte-1,Description,Tests-2,Errors-2,Mean_Test_Time_(ms)-2,Test_Time_Standard_Deviation_(ms)-2,TPS-2,Mean_response_length-2,Response_bytes_per_second-2,Response_errors-2,Mean_time_to_resolve_host-2,Mean_time_to_establish_connection-2,Mean_time_to_first_byte-2
2025-08-28 18:29:50,50,356,0,938.261,2188.964,178,228.826,40731,316,7.966,9.323,936.91,POST /api/register,356,0,938.385,2189.165,178,0,0,0,0,0,0,POST /api/login,356,0,938.261,2188.964,178,228.826,40731,316,7.966,9.323,936.91
2025-08-28 18:29:52,50,478,0,70.163,46.839,239,221.63,52969.5,434,0.056,0.987,69.985,POST /api/register,478,0,70.188,46.849,239,0,0,0,0,0,0,POST /api/login,478,0,70.163,46.839,239,221.63,52969.5,434,0.056,0.987,69.985
2025-08-28 18:29:54,50,374,0,72.866,44.103,187,225.963,42255,335,0.04,1.029,72.698,POST /api/register,374,0,72.88,44.095,187,0,0,0,0,0,0,POST /api/login,374,0,72.866,44.103,187,225.963,42255,335,0.04,1.029,72.698
2025-08-28 18:29:56,50,377,0,70.759,40.385,188.5,224.724,42360.5,339,0.019,0.989,70.61,POST /api/register,377,0,70.761,40.385,188.5,0,0,0,0,0,0,POST /api/login,377,0,70.759,40.385,188.5,224.724,42360.5,339,0.019,0.989,70.61
2025-08-28 18:29:58,50,383,0,68.655,35.705,191.5,225.091,43105,344,0.029,0.971,68.512,POST /api/register,383,0,68.661,35.705,191.5,0,0,0,0,0,0,POST /api/login,383,0,68.655,35.705,191.5,225.091,43105,344,0.029,0.971,68.512
2025-08-28 18:30:00,50,375,0,71.405,37.573,187.5,226.808,42526.5,335,0.024,0.957,71.283,POST /api/register,375,0,71.416,37.571,187.5,0,0,0,0,0,0,POST /api/login,375,0,71.405,37.573,187.5,226.808,42526.5,335,0.024,0.957,71.283
2025-08-28 18:30:02,50,380,0,69.703,36.788,190,226.311,42999,340,0.024,0.934,69.547,POST /api/register,380,0,69.711,36.785,190,0,0,0,0,0,0,POST /api/login,380,0,69.703,36.788,190,226.311,42999,340,0.024,0.934,69.547
2025-08-28 18:30:04,50,393,0,67.758,36.062,196.5,225.076,44227.5,353,0.02,0.939,67.628,POST /api/register,393,0,67.763,36.06,196.5,0,0,0,0,0,0,POST /api/login,393,0,67.758,36.062,196.5,225.076,44227.5,353,0.02,0.939,67.628
2025-08-28 18:30:06,50,385,0,68.79,35.389,192.5,225.826,43471.5,345,0.021,0.992,68.636,POST /api/register,385,0,68.795,35.387,192.5,0,0,0,0,0,0,POST /api/login,385,0,68.79,35.389,192.5,225.826,43471.5,345,0.021,0.992,68.636
2025-08-28 18:30:08,50,382,0,68.196,34.457,191,223.327,42655.5,345,0.021,0.969,68.068,POST /api/register,382,0,68.209,34.462,191,0,0,0,0,0,0,POST /api/login,382,0,68.196,34.457,191,223.327,42655.5,345,0.021,0.969,68.068
2025-08-28 18:30:10,50,384,0,67.768,35.173,192,223.156,42846,347,0.01,1.021,67.635,POST /api/register,384,0,67.771,35.172,192,0,0,0,0,0,0,POST /api/login,384,0,67.768,35.173,192,223.156,42846,347,0.01,1.021,67.635
2025-08-28 18:30:12,50,352,0,71.955,34.373,176,221.219,38934.5,320,0.023,1.236,71.841,POST /api/register,352,0,71.963,34.38,176,0,0,0,0,0,0,POST /api/login,352,0,71.955,34.373,176,221.219,38934.5,320,0.023,1.236,71.841
2025-08-28 18:30:15,50,367,0,70.134,33.178,183.5,221.837,40707,333,0.016,1.311,70.025,POST /api/register,367,0,70.142,33.174,183.5,0,0,0,0,0,0,POST /api/login,367,0,70.134,33.178,183.5,221.837,40707,333,0.016,1.311,70.025
